Winner,title_fight,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_BODY_attempted_strikes,B_avg_BODY_landed_strikes,B_avg_CLINCH_attempted_strikes,B_avg_CLINCH_landed_strikes,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_GROUND_attempted_strikes,B_avg_GROUND_landed_strikes,B_avg_HEAD_attempted_strikes,B_avg_HEAD_landed_strikes,B_avg_KD,B_avg_kicks_attempted,B_avg_kicks_landed,B_avg_guard_passed,B_avg_Reversals,B_avg_significant_strikes_attempted,B_avg_Significant_Strikes_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_landed,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_BODY_att,R_avg_BODY_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_KD,R_avg_LEG_att,R_avg_LEG_landed,R_avg_PASS,R_avg_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_att,R_avg_TD_landed,R_avg_TD_pct,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,B_Stance_Open Stance,B_Stance_Orthodox,B_Stance_Sideways,B_Stance_Southpaw,B_Stance_Switch,R_Stance_Open Stance,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch
Red,TRUE,5,0,4,0,9.2,6,0.2,0,62.6,20.6,2.6,2,48.6,11.2,0.8,7.6,5.4,0.4,0,65.4,22.6,0.466,0.4,0.8,0.2,0.1,66.4,23.6,4,1,9,419.4,0,0,1,0,2,1,0,4,167.64,170.18,135,0,4,0,21.9,16.4,17,11,75,26.5,9.4,6.5,74.2,23.9,0.4,5.3,3.7,1.2,0,101.4,44,0.466,0.1,5.3,1.9,0.458,129.9,69.1,4,2,27,742.6,3,0,2,4,2,0,0,8,162.56,162.56,135,31,32,0,1,0,0,0,0,1,0,0
Red,TRUE,5,0,3,0,14.6,9.1,11.8,7.3,124.7,42.1,2.4,1.9,112,32,0,12.3,10.2,0.8,0,138.9,51.3,0.399,0.7,1,0.5,0.225,158.7,69.6,3,6,29,849,0,0,2,1,0,0,1,4,167.64,167.64,125,0,2,0,12,7.714285714,9.285714286,6.857142857,88.14285714,36.14285714,18.42857143,16.42857143,84.57142857,37,0,19.28571429,14.71428571,1.714285714,0.142857143,115.8571429,59.42857143,0.575714286,0.428571429,5.142857143,2.428571429,0.601428571,161.5714286,102.8571429,2,2,25,1062,2,0,1,2,0,2,0,5,165.1,167.64,125,32,31,0,1,0,0,0,0,0,1,0
Red,FALSE,3,0,3,0,15.35483871,11.32258065,6.741935484,4.387096774,84.74193548,38.58064516,5.516129032,3.806451613,67.64516129,23.25806452,0.64516129,14,12.19354839,0.935483871,0.096774194,97,46.77419355,0.496129032,0.35483871,2.161290323,0.677419355,0.295483871,103.7096774,52.5483871,8,8,68,581.8709677,1,0,0,7,10,6,0,23,185.42,185.42,155,0,11,0,13.86666667,8.666666667,2.866666667,1.733333333,116.1333333,49.46666667,5.333333333,4.266666667,96.73333333,35.6,0.2,13.73333333,11.2,0.333333333,0.133333333,124.3333333,55.46666667,0.43,1,0.933333333,0.4,0.277333333,133,63.4,11,1,33,604.4,2,0,1,3,3,6,1,14,180.34,193.04,155,36,35,0,1,0,0,0,0,1,0,0
Blue,FALSE,3,0,4,0,17,14,13.75,11,109.5,48.75,13,10.5,116.25,53.75,0.5,3,2.5,0.5,0.25,136.25,70.25,0.55,0.25,2.5,1.25,0.2875,154.75,86.75,4,0,9,652,0,0,0,2,2,0,0,4,170.18,170.18,135,1,0,0,18.25,10.25,5.875,4.125,104.875,41,1,0.625,80.5,24,0.375,13,11.5,0.125,0,111.75,45.75,0.36625,0,2.25,0.625,0.10375,117.375,50.75,5,2,20,690.25,0,0,1,4,1,0,0,6,162.56,172.72,135,26,29,0,0,0,0,1,0,1,0,0
Blue,FALSE,3,0,1,0,17,14.5,2.5,2,201,59.5,0,0,184.5,45,0,2,2,0,0,203.5,61.5,0.31,0,0,0,0,204,62,1,1,8,1200,0,0,0,1,0,0,0,1,180.34,185.42,250,1,0,0,7.75,6.75,11,7.25,50.75,24.75,0.5,0.5,50.75,22.75,0.5,3.75,3,0.25,0,62.25,32.5,0.545,0,0.5,0,0,63.5,32.75,3,1,7,440.75,0,0,0,1,2,0,0,3,187.96,190.5,264,32,26,0,0,0,1,0,0,0,1,0
Red,FALSE,3,0,4,0,19.5,12.33333333,11.83333333,7.166666667,142.3333333,63.83333333,6,4.166666667,117.8333333,42.66666667,0,22.83333333,20.16666667,1.333333333,0.166666667,160.1666667,75.16666667,0.47,0.666666667,0.833333333,0.333333333,0.25,183.5,95.66666667,4,2,18,886.5,0,0,0,3,0,1,0,4,165.1,162.56,115,0,4,0,8.75,7.5,3,2.25,12.75,4.75,42.25,35.75,44.75,31.25,0,4.5,4,7.75,0,58,42.75,0.6375,0.5,5.5,4.5,0.8175,101.5,80.5,4,0,8,540,1,0,0,1,1,2,0,4,165.1,167.64,115,33,28,0,1,0,0,0,0,1,0,0
Red,FALSE,3,0,3,0,15,7.416666667,6.083333333,3.416666667,84.91666667,34.66666667,5.083333333,3.416666667,66.58333333,24,0.416666667,14.5,10.08333333,0.583333333,0.083333333,96.08333333,41.5,0.499166667,0.666666667,2.75,0.583333333,0.233333333,102.6666667,47.5,4,4,23,495.25,0,0,0,2,3,3,0,8,167.64,165.1,135,0,3,0,25.16666667,18.25,14,11.08333333,72.58333333,29.41666667,16.08333333,11.75,63,23.33333333,0,14.5,10.66666667,1.5,0.083333333,102.6666667,52.25,0.49,0.75,5.333333333,1.75,0.4175,138.3333333,85.75,4,3,32,750.6666667,0,0,0,5,1,3,0,9,170.18,180.34,135,32,29,0,1,0,0,0,0,1,0,0
Blue,FALSE,3,1,0,0,16.25,11,17.5,11.25,105.75,40,3,2.5,94.25,29.75,0,15.75,13,0.25,0.25,126.25,53.75,0.5025,0.25,0.5,0.25,0.125,165.5,87.5,1,2,10,716,0,0,1,1,0,0,0,2,165.1,167.64,115,2,0,0,25.22222222,17.55555556,27.55555556,20.77777778,155.7777778,49.77777778,3.777777778,3,149,46.77777778,0,12.88888889,9.222222222,0.777777778,0.111111111,187.1111111,73.55555556,0.38,0,0.777777778,0.111111111,0.055555556,211.2222222,95,3,4,25,800.1111111,1,0,2,3,0,0,0,5,160.02,162.56,115,25,33,0,1,0,0,0,0,1,0,0
Blue,FALSE,3,0,1,0,7.25,4.75,1.75,0.5,125,50.75,8.75,5,122.25,46.5,0.5,6,5,0,0,135.5,56.25,0.42,0,1.5,0.5,0.165,139.25,59,2,1,10,670.75,0,0,0,1,2,0,0,3,180.34,182.88,145,0,1,0,8.333333333,6.733333333,7.2,6.4,54.26666667,21.2,6.933333333,4.666666667,45.93333333,15.26666667,0.133333333,14.13333333,10.26666667,0.666666667,0.4,68.4,32.26666667,0.478,0.666666667,3.733333333,1.066666667,0.301333333,80,43.53333333,4,5,34,624.0666667,1,0,0,3,4,3,0,10,172.72,180.34,145,31,37,0,1,0,0,0,0,1,0,0
Red,FALSE,3,0,1,0,25.4,17.9,22.5,16.8,121.1,55.6,2.6,1.9,108.3,45.3,0.2,12.5,11.1,0.1,0.1,146.2,74.3,0.48,0,0.8,0.3,0.25,159,85.8,1,6,26,763.1,0,0,0,4,0,0,0,4,160.02,162.56,115,0,3,0,9.333333333,5.333333333,10.66666667,7.333333333,244.3333333,97.66666667,1.333333333,0.666666667,213.6666667,79,0,33.33333333,21.33333333,0,0,256.3333333,105.6666667,0.403333333,0,0.333333333,0,0,260.6666667,109,3,0,9,900,0,0,0,3,0,0,0,3,165.1,160.02,115,34,29,0,1,0,0,0,0,1,0,0
